lsoa21cd,lsoa21nm
E01001917,Hammersmith and Fulham 018C
E01001922,Hammersmith and Fulham 020C
E01001927,Hammersmith and Fulham 008C
E01001928,Hammersmith and Fulham 011A
E01001934,Hammersmith and Fulham 025B
E01001935,Hammersmith and Fulham 023A
E01001937,Hammersmith and Fulham 025C
E01001941,Hammersmith and Fulham 005C
E01001950,Hammersmith and Fulham 021D
E01001858,Hammersmith and Fulham 006A
E01001870,Hammersmith and Fulham 012D
E01001871,Hammersmith and Fulham 012E
E01001886,Hammersmith and Fulham 016A
E01001887,Hammersmith and Fulham 016B
E01001899,Hammersmith and Fulham 013D
E01001920,Hammersmith and Fulham 020A
E01001921,Hammersmith and Fulham 020B
E01001923,Hammersmith and Fulham 020D
E01001959,Hammersmith and Fulham 003C
E01035487,Hammersmith and Fulham 023H
E01001880,Hammersmith and Fulham 017A
E01001911,Hammersmith and Fulham 015D
E01001916,Hammersmith and Fulham 024B
E01001954,Hammersmith and Fulham 003A
E01001860,Hammersmith and Fulham 006B
E01001866,Hammersmith and Fulham 012A
E01001891,Hammersmith and Fulham 018B
E01001925,Hammersmith and Fulham 025A
E01001955,Hammersmith and Fulham 002A
E01035485,Hammersmith and Fulham 001G
E01035486,Hammersmith and Fulham 023G
E01001919,Hammersmith and Fulham 018E
E01001898,Hammersmith and Fulham 013C
E01001869,Hammersmith and Fulham 010D
E01001943,Hammersmith and Fulham 004A
E01001930,Hammersmith and Fulham 008D
E01001932,Hammersmith and Fulham 011C
E01001915,Hammersmith and Fulham 024A
E01001876,Hammersmith and Fulham 001C
E01001877,Hammersmith and Fulham 001D
E01035484,Hammersmith and Fulham 001F
E01001975,Haringey 001D
E01001977,Haringey 011B
E01001983,Haringey 018D
E01002001,Haringey 031B
E01002004,Haringey 023D
E01002097,Haringey 005D
E01002089,Haringey 013D
E01002087,Haringey 019D
E01002085,Haringey 019C
E01002081,Haringey 012D
E01002074,Haringey 012A
E01002050,Haringey 029A
E01002049,Haringey 026D
E01002047,Haringey 027C
E01002044,Haringey 027B
E01002043,Haringey 026A
E01002040,Haringey 002D
E01002039,Haringey 002C
E01002031,Haringey 016D
E01002028,Haringey 010B
E01002027,Haringey 010A
E01033086,Haringey 020F
E01033945,Haringey 020G
E01033946,Haringey 020H
E01001971,Haringey 001B
E01001981,Haringey 018B
E01001982,Haringey 018C
E01001986,Haringey 034A
E01002005,Haringey 035A
E01002016,Haringey 028A
E01002021,Haringey 022C
E01002026,Haringey 016A
E01002032,Haringey 010C
E01002045,Haringey 026B
E01002048,Haringey 027D
E01002051,Haringey 029B
E01002054,Haringey 032B
E01002055,Haringey 029D
E01002058,Haringey 031D
E01002060,Haringey 028D
E01002065,Haringey 036D
E01002079,Haringey 012C
E01002098,Haringey 007A
E01002105,Haringey 007D
E01033944,Haringey 015F
E01002093,Haringey 005B
E01002096,Haringey 005C
E01002100,Haringey 008B
E01002099,Haringey 008A
E01002083,Haringey 019A
E01002082,Haringey 013A
E01002077,Haringey 012B
E01002067,Haringey 024A
E01002064,Haringey 036C
E01002061,Haringey 036A
E01002057,Haringey 032D
E01002053,Haringey 032A
E01002046,Haringey 026C
E01002041,Haringey 037C
E01002023,Haringey 021C
E01002015,Haringey 020C
E01002013,Haringey 022A
E01002006,Haringey 035B
E01001976,Haringey 011A
E01001969,Haringey 001A
E01001965,Haringey 009C
E01002000,Haringey 031A
E01002076,Haringey 015B
E01002088,Haringey 013C
E01002103,Haringey 008C
E01002092,Haringey 006B
E01002073,Haringey 024D
E01002071,Haringey 025C
E01002062,Haringey 034D
E01002059,Haringey 028C
E01002036,Haringey 002A
E01002024,Haringey 022D
E01002017,Haringey 028B
E01001991,Haringey 017A
E01001974,Haringey 001C
E01001972,Haringey 004C
E01002018,Haringey 020D
E01002052,Haringey 029C
E01002090,Haringey 005A
E01002091,Haringey 006A
E01002104,Haringey 008D
E01002063,Haringey 036B
E01002007,Haringey 035C
E01001980,Haringey 018A
E01001978,Haringey 011C
E01032575,Haringey 037D
E01001967,Haringey 014A
E01001979,Haringey 011D
E01002033,Haringey 010D
E01002072,Haringey 025D
E01002034,Haringey 037A
E01002025,Haringey 021D
E01001988,Haringey 034B
E01001985,Haringey 033B
E01002066,Haringey 025A
E01002094,Haringey 006C
E01001998,Haringey 023A
E01001997,Haringey 014D
E01001984,Haringey 033A
E01001993,Haringey 017C
E01002014,Haringey 020B
E01002030,Haringey 016C
E01002069,Haringey 024B
E01002070,Haringey 024C
E01002078,Haringey 015C
E01001987,Haringey 033C
E01001995,Haringey 017D
E01001999,Haringey 023B
E01002038,Haringey 037B
E01001968,Haringey 014B
E01001970,Haringey 004B
E01001973,Haringey 004D
E01001994,Haringey 030A
E01002056,Haringey 032C
E01002086,Haringey 013B
E01002101,Haringey 007B
E01001990,Haringey 034C
E01002022,Haringey 021B
E01002029,Haringey 016B
E01002042,Haringey 027A
E01001996,Haringey 014C
E01002020,Haringey 021A
E01001989,Haringey 033D
E01001992,Haringey 017B
E01002009,Haringey 035D
E01002019,Haringey 022B
E01002095,Haringey 006D
E01002084,Haringey 019B
E01001963,Haringey 009A
E01002068,Haringey 025B
E01002075,Haringey 015A
E01002102,Haringey 007C
E01001964,Haringey 009B
E01002003,Haringey 023C
E01033943,Haringey 015E
E01001966,Haringey 009D
E01002002,Haringey 031C
E01002010,Haringey 030C
E01001962,Haringey 004A
E01002011,Haringey 030D
E01002037,Haringey 002B
E01002008,Haringey 030B
E01002810,Islington 003F
E01002809,Islington 003E
E01002799,Islington 018D
E01002796,Islington 013E
E01002789,Islington 008D
E01002785,Islington 008B
E01002783,Islington 010B
E01002781,Islington 012D
E01002780,Islington 014F
E01002778,Islington 012B
E01002777,Islington 012A
E01002772,Islington 002F
E01002768,Islington 004A
E01002767,Islington 011D
E01002763,Islington 007D
E01002760,Islington 002E
E01002757,Islington 002C
E01002755,Islington 001A
E01002753,Islington 002A
E01002752,Islington 009E
E01002751,Islington 005E
E01002749,Islington 006D
E01002747,Islington 006B
E01002741,Islington 009B
E01002736,Islington 005C
E01002733,Islington 007C
E01002725,Islington 022E
E01002723,Islington 022C
E01002722,Islington 018A
E01002721,Islington 014C
E01002720,Islington 016C
E01002715,Islington 019E
E01002714,Islington 017D
E01002711,Islington 021B
E01002709,Islington 019C
E01002703,Islington 023C
E01002702,Islington 023B
E01002701,Islington 023A
E01002698,Islington 017A
E01002694,Islington 019A
E01033486,Islington 011E
E01033487,Islington 011F
E01033493,Islington 006F
E01035651,Islington 007E
E01035654,Islington 011K
E01035656,Islington 020G
E01002697,Islington 019B
E01002699,Islington 017B
E01002707,Islington 022B
E01002717,Islington 016A
E01002718,Islington 014B
E01002719,Islington 016B
E01002727,Islington 021C
E01002728,Islington 021D
E01002729,Islington 021E
E01002730,Islington 007A
E01002735,Islington 003A
E01002737,Islington 005D
E01002742,Islington 006A
E01002743,Islington 009C
E01002744,Islington 009D
E01002745,Islington 013C
E01002756,Islington 001B
E01002759,Islington 002D
E01002764,Islington 010A
E01002766,Islington 015E
E01002771,Islington 004C
E01002773,Islington 004D
E01002775,Islington 014D
E01002776,Islington 014E
E01002782,Islington 012E
E01002786,Islington 010D
E01002791,Islington 016E
E01002792,Islington 017E
E01002797,Islington 018B
E01002798,Islington 018C
E01002804,Islington 001D
E01002811,Islington 001F
